keyboard,klavye
mouse,fare
screen,ekran
phone,telefon
network,ağ
internet,internet
website,web sitesi
program,program
software,yazılım
hardware,donanım
student,öğrenci
teacher,öğretmen
school,okul
book,kitap
pen,kalem
notebook,defter
lesson,ders
exam,sınav
question,soru
answer,cevap
language,dil
word,kelime
dictionary,sözlük
friend,arkadaş
family,aile
mother,anne
father,baba
brother,erkek kardeş
sister,kız kardeş
house,ev
room,oda
door,kapı
window,pencere
table,masa
chair,sandalye
car,araba
bus,otobüs
train,tren
plane,uçak
road,yol
city,şehir
country,ülke
water,su
food,yemek
bread,ekmek
milk,süt
coffee,kahve
tea,çay
apple,elma
orange,portakal
banana,muz
red,kırmızı
blue,mavi
green,yeşil
black,siyah
white,beyaz
happy,mutlu
sad,üzgün
strong,güçlü
algorithm,algoritma
database,veritabanı
server,sunucu
client,istemci
security,güvenlik
password,şifre
developer,geliştirici
application,uygulama
coding,kodlama
artificial intelligence,yapay zeka
machine learning,makine öğrenmesi
cloud,bulut
sun,güneş
moon,ay
star,yıldız
sky,gökyüzü
rain,yağmur
snow,kar
wind,rüzgar
tree,ağaç
flower,çiçek
grass,çim
river,nehir
sea,deniz
mountain,dağ
forest,orman
animal,hayvan
dog,köpek
cat,kedi
bird,kuş
fish,balık
horse,at
cow,inek
sheep,koyun
lion,aslan
tiger,kaplan
elephant,fil
doctor,doktor
nurse,hemşire
hospital,hastane
medicine,ilaç
health,sağlık
money,para
bank,banka
market,market
shop,mağaza
customer,müşteri
worker,işçi
engineer,mühendis
manager,yönetici
office,ofis
company,şirket
job,iş
future,gelecek
past,geçmiş
today,bugün
tomorrow,yarın
yesterday,dün
morning,sabah
afternoon,öğleden sonra
evening,akşam
night,gece
time,zaman
minute,dakika
hour,saat
day,gün
week,hafta
month,ay
year,yıl
love,sevgi
hope,umut
dream,hayal
success,başarı
failure,başarısızlık
power,güç
knowledge,bilgi
experience,tecrübe
idea,fikir
project,proje
computer,bilgisayar
